"","key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
"1",1,42,"42-1","42-1-Q-1","Q-1",404,"Jenny Kwan","Vancouver East",1,"2015/12/07","Notice"
"2",2,42,"42-1","42-1-Q-1","Q-1",404,"Jenny Kwan","Vancouver East",2,"2016/01/25","Made an Order for Return and answer tabled"
"3",3,42,"42-1","42-1-Q-2","Q-2",404,"Jenny Kwan","Vancouver East",1,"2015/12/07","Notice"
"4",4,42,"42-1","42-1-Q-2","Q-2",404,"Jenny Kwan","Vancouver East",2,"2016/01/25","Made an Order for Return and answer tabled"
"5",5,42,"42-1","42-1-Q-3","Q-3",404,"Jenny Kwan","Vancouver East",1,"2015/12/07","Notice"
"6",6,42,"42-1","42-1-Q-3","Q-3",404,"Jenny Kwan","Vancouver East",2,"2016/01/25","Made an Order for Return and answer tabled"
"7",7,42,"42-1","42-1-Q-4","Q-4",331,"Cheryl Hardcastle","Windsor—Tecumseh",2,"2016/01/25","Made an Order for Return and answer tabled"
"8",8,42,"42-1","42-1-Q-4","Q-4",331,"Cheryl Hardcastle","Windsor—Tecumseh",1,"2015/12/07","Notice"
"9",9,42,"42-1","42-1-Q-5","Q-5",107,"Marjolaine Boutin-Sweet","Hochelaga",2,"2016/01/25","Made an Order for Return and answer tabled"
"10",10,42,"42-1","42-1-Q-5","Q-5",107,"Marjolaine Boutin-Sweet","Hochelaga",1,"2015/12/08","Notice"
"11",11,42,"42-1","42-1-Q-6","Q-6",107,"Marjolaine Boutin-Sweet","Hochelaga",1,"2015/12/08","Notice"
"12",12,42,"42-1","42-1-Q-6","Q-6",107,"Marjolaine Boutin-Sweet","Hochelaga",2,"2016/01/25","Made an Order for Return and answer tabled"
"13",13,42,"42-1","42-1-Q-7","Q-7",710,"Kennedy Stewart","Burnaby South",2,"2016/01/25","Made an Order for Return and answer tabled"
"14",14,42,"42-1","42-1-Q-7","Q-7",710,"Kennedy Stewart","Burnaby South",1,"2015/12/08","Notice"
"15",15,42,"42-1","42-1-Q-8","Q-8",710,"Kennedy Stewart","Burnaby South",1,"2015/12/08","Notice"
"16",16,42,"42-1","42-1-Q-8","Q-8",710,"Kennedy Stewart","Burnaby South",2,"2016/01/25","Made an Order for Return and answer tabled"
"17",17,42,"42-1","42-1-Q-9","Q-9",710,"Kennedy Stewart","Burnaby South",2,"2016/01/25","Made an Order for Return and answer tabled"
"18",18,42,"42-1","42-1-Q-9","Q-9",710,"Kennedy Stewart","Burnaby South",1,"2015/12/08","Notice"
"19",19,42,"42-1","42-1-Q-10","Q-10",458,"Alistair MacGregor","Cowichan—Malahat—Langford",1,"2015/12/09","Notice"
"20",20,42,"42-1","42-1-Q-10","Q-10",458,"Alistair MacGregor","Cowichan—Malahat—Langford",2,"2016/01/25","Made an Order for Return and answer tabled"
"21",21,42,"42-1","42-1-Q-11","Q-11",194,"Libby Davies","Vancouver Kingsway",2,"2016/01/25","Made an Order for Return and answer tabled"
"22",22,42,"42-1","42-1-Q-11","Q-11",193,"Don Davies","Vancouver Kingsway",2,"2016/01/25","Made an Order for Return and answer tabled"
"23",23,42,"42-1","42-1-Q-11","Q-11",194,"Libby Davies","Vancouver Kingsway",1,"2015/12/09","Notice"
"24",24,42,"42-1","42-1-Q-11","Q-11",193,"Don Davies","Vancouver Kingsway",1,"2015/12/09","Notice"
"25",25,42,"42-1","42-1-Q-12","Q-12",539,"Pierre Nantel","Longueuil—Saint-Hubert",2,"2016/01/25","Made an Order for Return and answer tabled"
"26",26,42,"42-1","42-1-Q-12","Q-12",539,"Pierre Nantel","Longueuil—Saint-Hubert",1,"2015/12/09","Notice"
"27",27,42,"42-1","42-1-Q-13","Q-13",539,"Pierre Nantel","Longueuil—Saint-Hubert",2,"2016/01/25","Made an Order for Return and answer tabled"
"28",28,42,"42-1","42-1-Q-13","Q-13",539,"Pierre Nantel","Longueuil—Saint-Hubert",1,"2015/12/09","Notice"
"29",29,42,"42-1","42-1-Q-14","Q-14",539,"Pierre Nantel","Longueuil—Saint-Hubert",2,"2016/01/25","Made an Order for Return and answer tabled"
"30",30,42,"42-1","42-1-Q-14","Q-14",539,"Pierre Nantel","Longueuil—Saint-Hubert",1,"2015/12/09","Notice"
"31",31,42,"42-1","42-1-Q-15","Q-15",194,"Libby Davies","Vancouver Kingsway",1,"2015/12/09","Notice"
"32",32,42,"42-1","42-1-Q-15","Q-15",193,"Don Davies","Vancouver Kingsway",1,"2015/12/09","Notice"
"33",33,42,"42-1","42-1-Q-15","Q-15",194,"Libby Davies","Vancouver Kingsway",2,"2016/01/25","Made an Order for Return and answer tabled"
"34",34,42,"42-1","42-1-Q-15","Q-15",193,"Don Davies","Vancouver Kingsway",2,"2016/01/25","Made an Order for Return and answer tabled"
"35",35,42,"42-1","42-1-Q-16","Q-16",193,"Don Davies","Vancouver Kingsway",2,"2016/01/25","Made an Order for Return and answer tabled"
"36",36,42,"42-1","42-1-Q-16","Q-16",194,"Libby Davies","Vancouver Kingsway",2,"2016/01/25","Made an Order for Return and answer tabled"
"37",37,42,"42-1","42-1-Q-16","Q-16",193,"Don Davies","Vancouver Kingsway",1,"2015/12/09","Notice"
"38",38,42,"42-1","42-1-Q-16","Q-16",194,"Libby Davies","Vancouver Kingsway",1,"2015/12/09","Notice"
"39",39,42,"42-1","42-1-Q-17","Q-17",710,"Kennedy Stewart","Burnaby South",1,"2015/12/09","Notice"
"40",40,42,"42-1","42-1-Q-17","Q-17",710,"Kennedy Stewart","Burnaby South",2,"2016/01/25","Answered"
