"","x"
"1","01/08/1990"
"2","01/09/1990"
"3","01/10/1990"
"4","01/11/1990"
"5","01/12/1990"
"6","01/15/1990"
"7","01/16/1990"
"8","01/17/1990"
"9","01/18/1990"
"10","01/19/1990"
"11","01/22/1990"
"12","01/23/1990"
"13","01/24/1990"
"14","01/25/1990"
"15","01/26/1990"
"16","02/12/1990"
"17","02/13/1990"
"18","02/14/1990"
"19","02/15/1990"
"20","02/16/1990"
"21","02/19/1990"
"22","02/20/1990"
"23","02/21/1990"
"24","02/22/1990"
"25","02/23/1990"
"26","02/26/1990"
"27","02/27/1990"
"28","02/28/1990"
"29","03/01/1990"
"30","03/02/1990"
"31","03/05/1990"
"32","03/06/1990"
"33","03/07/1990"
"34","03/08/1990"
"35","03/09/1990"
"36","03/12/1990"
"37","03/13/1990"
"38","03/14/1990"
"39","03/15/1990"
"40","03/16/1990"
"41","03/19/1990"
"42","03/20/1990"
"43","03/21/1990"
"44","03/22/1990"
"45","03/23/1990"
"46","03/26/1990"
"47","03/27/1990"
"48","03/28/1990"
"49","03/29/1990"
"50","03/30/1990"
"51","04/02/1990"
"52","04/03/1990"
"53","04/04/1990"
"54","04/05/1990"
"55","04/18/1990"
"56","04/19/1990"
"57","04/20/1990"
"58","04/23/1990"
"59","04/24/1990"
"60","04/25/1990"
"61","04/26/1990"
"62","04/27/1990"
"63","04/30/1990"
"64","05/01/1990"
"65","05/02/1990"
"66","05/03/1990"
"67","05/04/1990"
"68","05/08/1990"
"69","05/09/1990"
"70","05/10/1990"
"71","05/11/1990"
"72","05/14/1990"
"73","05/15/1990"
"74","05/16/1990"
"75","05/17/1990"
"76","05/18/1990"
"77","05/21/1990"
"78","05/22/1990"
"79","05/23/1990"
"80","05/24/1990"
"81","06/05/1990"
"82","06/06/1990"
"83","06/07/1990"
"84","06/08/1990"
"85","06/11/1990"
"86","06/12/1990"
"87","06/13/1990"
"88","06/14/1990"
"89","06/15/1990"
"90","06/18/1990"
"91","06/19/1990"
"92","06/20/1990"
"93","06/21/1990"
"94","06/22/1990"
"95","06/25/1990"
"96","06/26/1990"
"97","06/27/1990"
"98","06/28/1990"
"99","06/29/1990"
"100","07/02/1990"
"101","07/03/1990"
"102","07/04/1990"
"103","07/05/1990"
"104","07/06/1990"
"105","07/09/1990"
"106","07/10/1990"
"107","07/11/1990"
"108","07/12/1990"
"109","07/13/1990"
"110","07/16/1990"
"111","07/17/1990"
"112","07/18/1990"
"113","07/19/1990"
"114","07/20/1990"
"115","07/23/1990"
"116","07/24/1990"
