"uri","date","title","uin"
"http://data.parliament.uk/resources/104585","2010-03-02","Constitutional Reform and Governance Bill, Question put that amendment 10 be made","CD:2010-03-02:93"
"http://data.parliament.uk/resources/104586","2010-03-02","Constitutional Reform and Governance Bill, Question put that amendment 3 be made","CD:2010-03-02:94"
"http://data.parliament.uk/resources/104581","2010-03-01","Defence, Question put (Standing Order No. 31(2)), That the original words stand part of the Question","CD:2010-03-01:89"
"http://data.parliament.uk/resources/104582","2010-03-01","Prevention and Suppression of Terrorism, One and a half hours having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 16(1))","CD:2010-03-01:90"
"http://data.parliament.uk/resources/104578","2010-02-24","Energy Bill, Proceedings interrupted (PO, 7 Dec) Deputy Speaker put forthwith Questions necessary for the disposal of business to be concluded at that time (SO No. 83E), Question put, That the clause be added to the Bill","CD:2010-02-24:86"
"http://data.parliament.uk/resources/104579","2010-02-24","Energy Bill, Question put, That the new clause 18 be added to the Bill","CD:2010-02-24:87"
"http://data.parliament.uk/resources/104580","2010-02-24","Motion made, & Question put forthwith (SO No. 119(11), Alternative Investment Fund Managers. That this House takes note of EU 9494/09 -A1, 2, amending Directives 2004/39/EC, 2009/.../EC,  15162/09, 2004/39/EC & 2009/.../EC","CD:2010-02-24:88"
"http://data.parliament.uk/resources/104574","2010-02-23","Children, Schools and Families Bill Question put, That the clause 1 be read a Second time","CD:2010-02-23:82"
"http://data.parliament.uk/resources/104575","2010-02-23","Children, Schools and Families Bill Question put, That the clause 1 be added to the Bill","CD:2010-02-23:83"
"http://data.parliament.uk/resources/104576","2010-02-23","Children, Schools and Families Bill Question put (Single Question on amendments moved by a Minister of the Crown), That amendments 67 to 70, 3, 93 to 98, 111 to 132 and 99 to 107 be made","CD:2010-02-23:84"
"http://data.parliament.uk/resources/104577","2010-02-23","Children, Schools and Families Bill, Debate interrupted (Programme Order, this day) Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the Bill be now read the Third time","CD:2010-02-23:85"
"http://data.parliament.uk/resources/104572","2010-02-10","Section 5 of the European Communities (Amendment) Act 1993, 1 & 1/2 hours having elapsed since commencement of proceedings on the motion, Deputy Speaker put the Question (SO No. 16(1)), That the amendment be made","CD:2010-02-10:80"
"http://data.parliament.uk/resources/104573","2010-02-10","Section 5 of the European Communities (Amendment) Act 1993 Main Question put","CD:2010-02-10:81"
"http://data.parliament.uk/resources/104568","2010-02-09","Constitutional Reform and Governance Bill (Money) (No. 3)","CD:2010-02-09:76"
"http://data.parliament.uk/resources/104569","2010-02-09","Constitutional Reform and Governance Bill, That the New Clause 88 be read a Second time, sitting in committee","CD:2010-02-09:77"
"http://data.parliament.uk/resources/104570","2010-02-09","Constitutional Reform and Governance Bill, (Prog Order, 1 Feb 2010), Questions necessary for disposal of business to be concluded (SO No. 83D) That amend New Clause 88(b) be made, sitting in committee","CD:2010-02-09:78"
