"","full_name","State","Party","chamber","service_period","congress","committee_type","committee_name","committee_period","start_date","end_date","parliament_path","chamber_path","member_number","committee_number","committee_path","member_path","observation_number"
"1","Hope, Clifford R.","KS","Republican","House",0,80,"Standing","102","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,1,"/parliament-80/chamber-1/committee-1","/parliament-80/chamber-1/committee-1.member-1",1
"2","Taber, John","NY","Republican","House",0,80,"Standing","104","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,2,"/parliament-80/chamber-1/committee-2","/parliament-80/chamber-1/committee-2.member-1",2
"3","Andrews, Walter G.","NY","Republican","House",0,80,"Standing","106","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,3,"/parliament-80/chamber-1/committee-3","/parliament-80/chamber-1/committee-3.member-1",3
"4","Wolcott, Jesse P.","MI","Republican","House",0,80,"Standing","111","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,4,"/parliament-80/chamber-1/committee-4","/parliament-80/chamber-1/committee-4.member-1",4
"5","Dirksen, Everett McK.","IL","Republican","House",0,80,"Standing","120","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,8,"/parliament-80/chamber-1/committee-8","/parliament-80/chamber-1/committee-8.member-1",5
"6","Hartley, Fred A. Jr.","NJ","Republican","House",0,80,"Standing","124","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,9,"/parliament-80/chamber-1/committee-9","/parliament-80/chamber-1/committee-9.member-1",6
"7","Hoffman, Clare E.","MI","Republican","House",0,80,"Standing","126","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,10,"/parliament-80/chamber-1/committee-10","/parliament-80/chamber-1/committee-10.member-1",7
"8","Eaton, Charles A.","NJ","Republican","House",0,80,"Standing","132","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,12,"/parliament-80/chamber-1/committee-12","/parliament-80/chamber-1/committee-12.member-1",8
"9","LeCompte, Karl M.","IA","Republican","House",0,80,"Standing","142","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,15,"/parliament-80/chamber-1/committee-15","/parliament-80/chamber-1/committee-15.member-1",9
"10","Wolverton, Charles A.","NJ","Republican","House",0,80,"Standing","152","2nd",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,19,"/parliament-80/chamber-1/committee-19","/parliament-80/chamber-1/committee-19.member-1",10
"11","Michener, Earl C.","MI","Republican","House",2,80,"Standing","156","2nd",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,20,"/parliament-80/chamber-1/committee-20","/parliament-80/chamber-1/committee-20.member-1",11
"12","Bradley, Frederick V.","MI","Republican","House",0,80,"Standing","160","Only",1947-01-14,1947-05-24,"/parliament-80","/parliament-80/chamber-1",1,21,"/parliament-80/chamber-1/committee-21","/parliament-80/chamber-1/committee-21.member-1",12
"13","Rees, Edward H.","KS","Republican","House",0,80,"Standing","168","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,22,"/parliament-80/chamber-1/committee-22","/parliament-80/chamber-1/committee-22.member-1",13
"14","Welch, Richard J.","CA","Republican","House",0,80,"Standing","170","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,23,"/parliament-80/chamber-1/committee-23","/parliament-80/chamber-1/committee-23.member-1",14
"15","Dondero, George A.","MI","Republican","House",0,80,"Standing","172","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,24,"/parliament-80/chamber-1/committee-24","/parliament-80/chamber-1/committee-24.member-1",15
"16","Allen, Leo E.","IL","Republican","House",0,80,"Standing","176","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,26,"/parliament-80/chamber-1/committee-26","/parliament-80/chamber-1/committee-26.member-1",16
"17","Thomas, J. Parnell","NJ","Republican","House",0,80,"Standing","188","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,32,"/parliament-80/chamber-1/committee-32","/parliament-80/chamber-1/committee-32.member-1",17
"18","Rogers, Edith Nourse","LA","Republican","House",0,80,"Standing","192","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,33,"/parliament-80/chamber-1/committee-33","/parliament-80/chamber-1/committee-33.member-1",18
"19","Knutson, Harold","MN","Republican","House",0,80,"Standing","196","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",1,34,"/parliament-80/chamber-1/committee-34","/parliament-80/chamber-1/committee-34.member-1",19
"20","Lichtenwalter, Franklin H","PA","Republican","House",0,80,"Standing","780","Inapplicable",1947-09-09,1949-01-02,"/parliament-80","/parliament-80/chamber-1",1,40,"/parliament-80/chamber-1/committee-40","/parliament-80/chamber-1/committee-40.member-1",20
"21","Abbitt, Watkins M.","PA","Democratic","House",0,80,"Standing","790","Inapplicable",1948-02-17,1949-01-02,"/parliament-80","/parliament-80/chamber-1",1,41,"/parliament-80/chamber-1/committee-41","/parliament-80/chamber-1/committee-41.member-1",21
"22","Andresen, August H.","MN","Republican","House",2,80,"Standing","102","2nd",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,1,"/parliament-80/chamber-1/committee-1","/parliament-80/chamber-1/committee-1.member-2",22
"23","Wigglesworth, Richard B.","NY","Republican","House",0,80,"Standing","104","Only",1947-01-07,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,2,"/parliament-80/chamber-1/committee-2","/parliament-80/chamber-1/committee-2.member-2",23
"24","Short, Dewey","MO","Republican","House",2,80,"Standing","106","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,3,"/parliament-80/chamber-1/committee-3","/parliament-80/chamber-1/committee-3.member-2",24
"25","Gamble, Ralph A.","NY","Republican","House",0,80,"Standing","111","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,4,"/parliament-80/chamber-1/committee-4","/parliament-80/chamber-1/committee-4.member-2",25
"26","Bates, George J.","IL","Republican","House",0,80,"Standing","120","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,8,"/parliament-80/chamber-1/committee-8","/parliament-80/chamber-1/committee-8.member-2",26
"27","Landis, Gerald W.","IN","Republican","House",0,80,"Standing","124","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,9,"/parliament-80/chamber-1/committee-9","/parliament-80/chamber-1/committee-9.member-2",27
"28","Bender, George H.","OH","Republican","House",1,80,"Standing","126","1st",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,10,"/parliament-80/chamber-1/committee-10","/parliament-80/chamber-1/committee-10.member-2",28
"29","Chiperfield, Robert B.","IL","Republican","House",0,80,"Standing","132","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,12,"/parliament-80/chamber-1/committee-12","/parliament-80/chamber-1/committee-12.member-2",29
"30","Gamble, Ralph A.","NY","Republican","House",0,80,"Standing","142","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,15,"/parliament-80/chamber-1/committee-15","/parliament-80/chamber-1/committee-15.member-2",30
"31","Hinshaw, Carl","CA","Republican","House",0,80,"Standing","152","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,19,"/parliament-80/chamber-1/committee-19","/parliament-80/chamber-1/committee-19.member-2",31
"32","Robsion, John M.","KY","Republican","House",0,80,"Standing","156","Only",1947-01-14,1948-02-17,"/parliament-80","/parliament-80/chamber-1",2,20,"/parliament-80/chamber-1/committee-20","/parliament-80/chamber-1/committee-20.member-2",32
"33","Weichel, Alvin F.","OH","Republican","House",0,80,"Standing","160","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,21,"/parliament-80/chamber-1/committee-21","/parliament-80/chamber-1/committee-21.member-2",33
"34","Stevenson, William H.","WI","Republican","House",0,80,"Standing","168","Only",1947-01-14,1949-01-03,"/parliament-80","/parliament-80/chamber-1",2,22,"/parliament-80/chamber-1/committee-22","/parliament-80/chamber-1/committee-22.member-2",34
