"","observation_path","chamber_path","committee_path","observation_number","chamber_number","committee_number","committee_name","parent_name","past_names","type","committee_id"
"1","/chamber-1/committee-1","/chamber-1","/chamber-1/committee-1",1,1,1,"21st Century Competitiveness","House Committee on Education and Labor","{'21st Century Competitiveness': [107, 108, 109], 'Higher Education, Lifelong Learning, and Competitiveness': [110, 111], 'Higher Education and Workforce Training': [112, 113, 114]}","housesub",""
"2","/chamber-1/committee-2","/chamber-1","/chamber-1/committee-2",2,1,2,"Accounts","House Committee on House Administration","{'Accounts': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"3","/chamber-1/committee-3","/chamber-1","/chamber-1/committee-3",3,1,3,"Ad Hoc Task Force on Presidential Pay Recommendation","House Committee on Post Office and Civil Service","{'Ad Hoc Task Force on Presidential Pay Recommendation': [100]}","housesub",""
"4","/chamber-1/committee-4","/chamber-1","/chamber-1/committee-4",4,1,4,"Administrative Law and Governmental Relations","House Committee on Judiciary","{'Administrative Law and Governmental Relations': [97, 98, 99, 100, 101, 102, 103]}","housesub",""
"5","/chamber-1/committee-5","/chamber-1","/chamber-1/committee-5",5,1,5,"Africa","House Committee on Foreign Affairs","{'Africa': [97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108]}","housesub",""
"6","/chamber-1/committee-6","/chamber-1","/chamber-1/committee-6",6,1,6,"Africa, Global Human Rights and International Operations","House Committee on Foreign Affairs","{'Africa, Global Human Rights and International Operations': [109], 'Africa and Global Health': [110], 'Africa, Global Health, and Human Rights': [112], 'Africa, Global Health, Global Human Rights and International Organizations': [113, 114]}","housesub",""
"7","/chamber-1/committee-7","/chamber-1","/chamber-1/committee-7",7,1,7,"Agriculture, Rural Development and Related Agencies","House Committee on Appropriations","{'Agriculture, Rural Development and Related Agencies': [97, 98, 99], 'Rural Development, Agriculture and Related Agencies': [100, 102], 'Agriculture, Rural Development, Food and Drug Administration, and Related Agencies': [103, 104, 105]}","housesub",""
"8","/chamber-1/committee-8","/chamber-1","/chamber-1/committee-8",8,1,8,"Antitrust (Full Committee Task Force)","House Committee on Judiciary","{'Antitrust (Full Committee Task Force)': [108]}","housesub",""
"9","/chamber-1/committee-9","/chamber-1","/chamber-1/committee-9",9,1,9,"Antitrust and Restraint of Trade Activities Affecting Small Business","House Committee on Small Business","{'Antitrust and Restraint of Trade Activities Affecting Small Business': [98, 99]}","housesub",""
"10","/chamber-1/committee-10","/chamber-1","/chamber-1/committee-10",10,1,10,"Asian and Pacific Affairs","House Committee on Foreign Affairs","{'Asian and Pacific Affairs': [97, 98, 99, 100, 101, 102], 'Asia and the Pacific': [103, 104, 105, 106, 108, 109, 112, 113, 114], 'East Asia and the Pacific': [107], 'Asia, the Pacific, and the Global Environment': [110, 111]}","housesub",""
