"","year","state","district","state_number","observation_number","state_path","district_path","observation_path"
"1"," 1818–1819 (obsolete since statehood)","Alabama","Territory",1,1,"/state-1","/state-1/district-Territory","/state-1/district-Territory"
"2"," 1819–1823, 1841–1843, 1873–1877, 1913–1917, 1963–1965 (obsolete)","Alabama","At-large",1,2,"/state-1","/state-1/district-At-large","/state-1/district-At-large"
"3"," 1823–1841, 1843–1963, 1965–present","Alabama","1",1,3,"/state-1","/state-1/district-1","/state-1/district-1"
"4"," 1823–1841, 1843–1963, 1965–present","Alabama","2",1,4,"/state-1","/state-1/district-2","/state-1/district-2"
"5"," 1823–1841, 1843–1963, 1965–present","Alabama","3",1,5,"/state-1","/state-1/district-3","/state-1/district-3"
"6"," 1833–1841, 1843–1963, 1965–present","Alabama","4",1,6,"/state-1","/state-1/district-4","/state-1/district-4"
"7"," 1833–1841, 1843–1963, 1965–present","Alabama","5",1,7,"/state-1","/state-1/district-5","/state-1/district-5"
"8"," 1843–1963, 1965–present","Alabama","6",1,8,"/state-1","/state-1/district-6","/state-1/district-6"
"9"," 1843–1863, 1877–1963, 1965–present","Alabama","7",1,9,"/state-1","/state-1/district-7","/state-1/district-7"
"10"," 1877–1963, 1965–1973 (obsolete since the 1970 census)","Alabama","8",1,10,"/state-1","/state-1/district-8","/state-1/district-8"
"11"," 1893–1963 (obsolete since the 1960 census)","Alabama","9",1,11,"/state-1","/state-1/district-9","/state-1/district-9"
"12"," 1917–1933 (obsolete since the 1930 census)","Alabama","10",1,12,"/state-1","/state-1/district-10","/state-1/district-10"
"13"," 1906–1959 (obsolete since statehood)","Alaska","Territory",2,13,"/state-2","/state-2/district-Territory","/state-2/district-Territory"
"14"," 1959–present","Alaska","At-large",2,14,"/state-2","/state-2/district-At-large","/state-2/district-At-large"
"15"," 1863–1912 (obsolete since statehood)","Arizona","Territory",3,15,"/state-3","/state-3/district-Territory","/state-3/district-Territory"
"16"," 1912–1949 (obsolete)","Arizona","At-large",3,16,"/state-3","/state-3/district-At-large","/state-3/district-At-large"
"17"," 1949–present","Arizona","1",3,17,"/state-3","/state-3/district-1","/state-3/district-1"
"18"," 1949–present","Arizona","2",3,18,"/state-3","/state-3/district-2","/state-3/district-2"
"19"," 1963–present","Arizona","3",3,19,"/state-3","/state-3/district-3","/state-3/district-3"
"20"," 1973–present","Arizona","4",3,20,"/state-3","/state-3/district-4","/state-3/district-4"
"21"," 1983–present","Arizona","5",3,21,"/state-3","/state-3/district-5","/state-3/district-5"
"22"," 1993–present","Arizona","6",3,22,"/state-3","/state-3/district-6","/state-3/district-6"
"23"," 2003–present","Arizona","7",3,23,"/state-3","/state-3/district-7","/state-3/district-7"
"24"," 2003–present","Arizona","8",3,24,"/state-3","/state-3/district-8","/state-3/district-8"
"25"," 2013–present","Arizona","9",3,25,"/state-3","/state-3/district-9","/state-3/district-9"
"26"," 1819–1836 (obsolete since statehood)","Arkansas","Territory",4,26,"/state-4","/state-4/district-Territory","/state-4/district-Territory"
"27"," 1836–1853, 1873–1875, 1883–1885 (obsolete)","Arkansas","At-large",4,27,"/state-4","/state-4/district-At-large","/state-4/district-At-large"
"28"," 1853–present","Arkansas","1",4,28,"/state-4","/state-4/district-1","/state-4/district-1"
