"","observation_path","chamber_path","member_path","observation_number","chamber_number","member_number","full_name","first_name","middle_name","last_name","member_ID","state","district","party","year_start","year_end"
"1","/chamber-1/member-1","/chamber-1","/chamber-1/member-1",1,1,1,"Neil Abercrombie","Neil","","Abercrombie","/chamber-1/member-1","HI",1,"Democratic",1986,1987
"2","/chamber-1/member-2","/chamber-1","/chamber-1/member-2",2,1,2,"Neil Abercrombie","Neil","","Abercrombie","/chamber-1/member-2","HI",1,"Democratic",1991,2010
"3","/chamber-1/member-3","/chamber-1","/chamber-1/member-3",3,1,3,"Ralph Lee Abraham","Ralph","Lee","Abraham","/chamber-1/member-3","LA",5,"Republican",2015,2020
"4","/chamber-1/member-4","/chamber-1","/chamber-1/member-4",4,1,4,"Bella Abzug","Bella","","Abzug","/chamber-1/member-4","NY",20,"Democratic",1971,1977
"5","/chamber-1/member-5","/chamber-1","/chamber-1/member-5",5,1,5,"Gary Leonard Ackerman","Gary","Leonard","Ackerman","/chamber-1/member-5","NY",5,"Democratic",1983,2013
"6","/chamber-1/member-6","/chamber-1","/chamber-1/member-6",6,1,6,"Alma S. Adams","Alma","S.","Adams","/chamber-1/member-6","NC",12,"Democratic",2014,2020
"7","/chamber-1/member-7","/chamber-1","/chamber-1/member-7",7,1,7,"Sandy Adams","Sandy","","Adams","/chamber-1/member-7","FL",24,"Republican",2011,2013
"8","/chamber-1/member-8","/chamber-1","/chamber-1/member-8",8,1,8,"Joseph Patrick Addabbo","Joseph","Patrick","Addabbo","/chamber-1/member-8","NY",6,"Democratic",1961,1986
"9","/chamber-1/member-9","/chamber-1","/chamber-1/member-9",9,1,9,"Robert B. Aderholt","Robert","B.","Aderholt","/chamber-1/member-9","AL",4,"Republican",1997,2020
"10","/chamber-1/member-10","/chamber-1","/chamber-1/member-10",10,1,10,"John Adler","John","","Adler","/chamber-1/member-10","NJ",3,"Democratic",2009,2011
"11","/chamber-1/member-11","/chamber-1","/chamber-1/member-11",11,1,11,"Pete Aguilar","Pete",NA,"Aguilar","/chamber-1/member-11","CA",31,"Democratic",2015,2020
"12","/chamber-1/member-12","/chamber-1","/chamber-1/member-12",12,1,12,"W. Todd Akin","W.","Todd","Akin","/chamber-1/member-12","MO",2,"Republican",2001,2013
"13","/chamber-1/member-13","/chamber-1","/chamber-1/member-13",13,1,13,"Carl Albert","Carl","","Albert","/chamber-1/member-13","OK",3,"Democratic",1947,1977
"14","/chamber-1/member-14","/chamber-1","/chamber-1/member-14",14,1,14,"Donald J. Albosta","Donald","J.","Albosta","/chamber-1/member-14","MI",10,"Democratic",1979,1985
"15","/chamber-1/member-15","/chamber-1","/chamber-1/member-15",15,1,15,"Rodney Alexander","Rodney","","Alexander","/chamber-1/member-15","LA",5,"Democratic",2003,2004
"16","/chamber-1/member-16","/chamber-1","/chamber-1/member-16",16,1,16,"Rodney Alexander","Rodney","","Alexander","/chamber-1/member-16","LA",5,"Democratic",2004,2013
"17","/chamber-1/member-17","/chamber-1","/chamber-1/member-17",17,1,17,"Clifford Allen","Clifford","","Allen","/chamber-1/member-17","TN",5,"Democratic",1975,1978
