"","observation_path","parliament_path","chamber_path","member_path","observation_number","parliament_number","chamber_number","member_number","full_name","first_name","middle_name","last_name","member_ID","state","district","party","year_start","year_end"
"1","/parliament-74/chamber-1/member-38","/parliament-74","/parliament-74/chamber-1","/parliament-74/chamber-1/member-38",1,74,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"2","/parliament-74/chamber-1/member-954","/parliament-74","/parliament-74/chamber-1","/parliament-74/chamber-1/member-954",2,74,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"3","/parliament-75/chamber-1/member-38","/parliament-75","/parliament-75/chamber-1","/parliament-75/chamber-1/member-38",3,75,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"4","/parliament-75/chamber-1/member-954","/parliament-75","/parliament-75/chamber-1","/parliament-75/chamber-1/member-954",4,75,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"5","/parliament-75/chamber-1/member-1202","/parliament-75","/parliament-75/chamber-1","/parliament-75/chamber-1/member-1202",5,75,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"6","/parliament-76/chamber-1/member-38","/parliament-76","/parliament-76/chamber-1","/parliament-76/chamber-1/member-38",6,76,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"7","/parliament-76/chamber-1/member-954","/parliament-76","/parliament-76/chamber-1","/parliament-76/chamber-1/member-954",7,76,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"8","/parliament-76/chamber-1/member-1065","/parliament-76","/parliament-76/chamber-1","/parliament-76/chamber-1/member-1065",8,76,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
"9","/parliament-76/chamber-1/member-1202","/parliament-76","/parliament-76/chamber-1","/parliament-76/chamber-1/member-1202",9,76,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"10","/parliament-77/chamber-1/member-38","/parliament-77","/parliament-77/chamber-1","/parliament-77/chamber-1/member-38",10,77,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"11","/parliament-77/chamber-1/member-954","/parliament-77","/parliament-77/chamber-1","/parliament-77/chamber-1/member-954",11,77,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"12","/parliament-77/chamber-1/member-1065","/parliament-77","/parliament-77/chamber-1","/parliament-77/chamber-1/member-1065",12,77,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
"13","/parliament-77/chamber-1/member-1202","/parliament-77","/parliament-77/chamber-1","/parliament-77/chamber-1/member-1202",13,77,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"14","/parliament-77/chamber-1/member-1591","/parliament-77","/parliament-77/chamber-1","/parliament-77/chamber-1/member-1591",14,77,1,1591,"Jamie L. Whitten","Jamie","L.","Whitten","/chamber-1/member-1591","MS",1,"Democratic",1941,1995
"15","/parliament-78/chamber-1/member-38","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-38",15,78,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"16","/parliament-78/chamber-1/member-724","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-724",16,78,1,724,"Chester E. Holifield","Chester","E.","Holifield","/chamber-1/member-724","CA",19,"Democratic",1943,1974
"17","/parliament-78/chamber-1/member-952","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-952",17,78,1,952,"Ray J. Madden","Ray","J.","Madden","/chamber-1/member-952","IN",1,"Democratic",1943,1977
"18","/parliament-78/chamber-1/member-954","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-954",18,78,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"19","/parliament-78/chamber-1/member-1065","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-1065",19,78,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
"20","/parliament-78/chamber-1/member-1202","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-1202",20,78,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"21","/parliament-78/chamber-1/member-1591","/parliament-78","/parliament-78/chamber-1","/parliament-78/chamber-1/member-1591",21,78,1,1591,"Jamie L. Whitten","Jamie","L.","Whitten","/chamber-1/member-1591","MS",1,"Democratic",1941,1995
"22","/parliament-79/chamber-1/member-38","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-38",22,79,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"23","/parliament-79/chamber-1/member-724","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-724",23,79,1,724,"Chester E. Holifield","Chester","E.","Holifield","/chamber-1/member-724","CA",19,"Democratic",1943,1974
"24","/parliament-79/chamber-1/member-952","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-952",24,79,1,952,"Ray J. Madden","Ray","J.","Madden","/chamber-1/member-952","IN",1,"Democratic",1943,1977
"25","/parliament-79/chamber-1/member-954","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-954",25,79,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"26","/parliament-79/chamber-1/member-1065","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-1065",26,79,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
"27","/parliament-79/chamber-1/member-1088","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-1088",27,79,1,1088,"Thomas E. Morgan","Thomas","E.","Morgan","/chamber-1/member-1088","PA",22,"Democratic",1945,1977
"28","/parliament-79/chamber-1/member-1202","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-1202",28,79,1,1202,"William R. Poage","William","R.","Poage","/chamber-1/member-1202","TX",11,"Democratic",1937,1978
"29","/parliament-79/chamber-1/member-1287","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-1287",29,79,1,1287,"John J. Rooney","John","J.","Rooney","/chamber-1/member-1287","NY",14,"Democratic",1944,1974
"30","/parliament-79/chamber-1/member-1390","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-1390",30,79,1,1390,"Robert L. Sikes","Robert","L.","Sikes","/chamber-1/member-1390","FL",1,"Democratic",1945,1979
"31","/parliament-79/chamber-1/member-1591","/parliament-79","/parliament-79/chamber-1","/parliament-79/chamber-1/member-1591",31,79,1,1591,"Jamie L. Whitten","Jamie","L.","Whitten","/chamber-1/member-1591","MS",1,"Democratic",1941,1995
"32","/parliament-80/chamber-1/member-13","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-13",32,80,1,13,"Carl Albert","Carl","","Albert","/chamber-1/member-13","OK",3,"Democratic",1947,1977
"33","/parliament-80/chamber-1/member-38","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-38",33,80,1,38,"Leslie Cornelius Arends","Leslie","Cornelius","Arends","/chamber-1/member-38","IL",15,"Republican",1935,1974
"34","/parliament-80/chamber-1/member-138","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-138",34,80,1,138,"John Blatnik","John","","Blatnik","/chamber-1/member-138","MN",8,"Democratic-Farmer-Labor",1947,1974
"35","/parliament-80/chamber-1/member-206","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-206",35,80,1,206,"Omar Burleson","Omar","","Burleson","/chamber-1/member-206","TX",17,"Democratic",1947,1978
"36","/parliament-80/chamber-1/member-420","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-420",36,80,1,420,"Harold Donohue","Harold","","Donohue","/chamber-1/member-420","MA",3,"Democratic",1947,1974
"37","/parliament-80/chamber-1/member-724","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-724",37,80,1,724,"Chester E. Holifield","Chester","E.","Holifield","/chamber-1/member-724","CA",19,"Democratic",1943,1974
"38","/parliament-80/chamber-1/member-952","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-952",38,80,1,952,"Ray J. Madden","Ray","J.","Madden","/chamber-1/member-952","IN",1,"Democratic",1943,1977
"39","/parliament-80/chamber-1/member-954","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-954",39,80,1,954,"George H. Mahon","George","H.","Mahon","/chamber-1/member-954","TX",19,"Democratic",1935,1979
"40","/parliament-80/chamber-1/member-1065","/parliament-80","/parliament-80/chamber-1","/parliament-80/chamber-1/member-1065",40,80,1,1065,"Wilbur Mills","Wilbur","","Mills","/chamber-1/member-1065","AR",2,"Democratic",1939,1977
